     obs         x1        x2        x3         x4       x5        y
    1.0000    6.0000    7.0000    26.000    60.000    2.5000    85.500
    2.0000    15.000    1.0000    29.000    52.000    2.3000    76.000
    3.0000    8.0000    11.000    56.000    20.000    5.0000    110.40
    4.0000    8.0000    11.000    31.000    47.000    2.4000    90.600
    5.0000    6.0000    7.0000    52.000    33.000    2.4000    103.50
    6.0000    9.0000    11.000    55.000    22.000    2.4000    109.80
    7.0000    17.000    3.0000    71.000    6.0000    2.1000    108.00
    8.0000    22.000    1.0000    31.000    44.000    2.2000    71.600
    9.0000    18.000    2.0000    54.000    22.000    2.3000    97.000
    10.000    4.0000    21.000    47.000    26.000    2.5000    122.70
    11.000    23.000    1.0000    40.000    34.000    2.2000    83.100
    12.000    9.0000    11.000    66.000    12.000    2.6000    115.40
    13.000    8.0000    10.000    68.000    12.000    2.4000    116.30
    14.000    18.000    1.0000    17.000    61.000    2.1000    62.600
